frame_num;sec;nsec;yaw;pitch;roll;north_c;east_c;down_c;north;east;down;vx;vy;vz;gimbal_roll;gimbal_pitch;gps_time_week
1;1664534681;481006284;1.37969;-0.0255952;0.00203576;207.85;-686.222;170.868;188.393;-675.334;-0.000686646;-0.000453806;9.53277e-05;-0.00245112;0.008;-0.001;0
2;1664534690;779675375;1.37955;-0.025438;0.00200372;208.017;-686.234;170.867;188.424;-675.299;3.05176e-05;0.000128773;0.000441553;-0.00529327;0.007;0.002;0
3;1664534690;879733592;1.37954;-0.0254467;0.00198815;208.017;-686.234;170.867;188.426;-675.297;0.00012207;0.000157446;0.00047056;-0.00478456;-0.002;-0.006;0
4;1664534691;79594466;1.37949;-0.0254553;0.00196541;208.017;-686.234;170.867;188.429;-675.293;-0.000915527;0.000286937;0.000690584;-0.00419348;-0.002;0;0
5;1664534691;179592403;1.37949;-0.0254488;0.00194358;208.017;-686.234;170.867;188.429;-675.293;0.000244141;0.000232089;0.000345887;-0.00419075;-0.003;-0.005;0
6;1664534691;279555018;1.37952;-0.0254144;0.00196189;208.015;-686.232;170.867;188.43;-675.292;0.00126648;0.000220029;0.000138514;-0.00439208;-0.006;-0.003;0
7;1664534691;379562618;1.37949;-0.0253764;0.0019519;208.015;-686.232;170.867;188.43;-675.292;-4.57764e-05;0.000477046;0.000326628;-0.00366938;-0.009;-0.003;0
8;1664534691;479550797;1.37946;-0.0253841;0.00195133;208.015;-686.231;170.867;188.43;-675.292;9.15527e-05;0.000844618;0.000128982;-0.00288262;-0.012;0.004;0
9;1664534691;579527778;1.37948;-0.025396;0.00193142;208.015;-686.231;170.867;188.429;-675.29;-0.000106812;0.000446223;-2.01172e-05;-0.00233824;-0.008;0.001;0
10;1664534691;679506806;1.37945;-0.0253926;0.00191395;208.016;-686.234;170.867;188.429;-675.288;0.000213623;-2.75965e-05;3.86523e-05;-0.00254261;0;0.002;0
11;1664534691;779489354;1.37943;-0.025357;0.00187648;208.016;-686.234;170.867;188.432;-675.286;-0.000244141;0.000113847;0.000385473;-0.00279418;-0.005;0.001;0
12;1664534691;879477053;1.37941;-0.0253351;0.00191152;208.019;-686.232;170.867;188.436;-675.284;0.000106812;3.0064e-05;-0.00015037;-0.00288505;-0.002;-0.003;0
13;1664534691;979437588;1.37942;-0.0253502;0.00193997;208.019;-686.232;170.867;188.439;-675.284;0;5.1232e-05;-8.04828e-06;-0.00336938;-0.003;-0.003;0
14;1664534692;79436769;1.37943;-0.0253904;0.00194427;208.019;-686.232;170.867;188.44;-675.283;-7.62939e-05;-0.000417161;0.00013143;-0.00392973;0.002;-0.001;0
15;1664534692;179418179;1.37943;-0.0254387;0.00196145;208.017;-686.233;170.868;188.441;-675.284;0.000320435;5.22706e-05;2.78165e-05;-0.00382687;-0.005;0.003;0
16;1664534692;279381128;1.37944;-0.025443;0.00193059;208.017;-686.233;170.868;188.442;-675.284;0.000473022;0.000244807;0.000247361;-0.00410499;-0.002;0.003;0
17;1664534692;379380934;1.37939;-0.0254218;0.00191321;208.017;-686.234;170.867;188.442;-675.284;-0.000930786;0.000330591;0.000214663;-0.00432055;-0.002;0.003;0
18;1664534692;479350442;1.3794;-0.0254194;0.00192129;208.017;-686.234;170.867;188.442;-675.285;0.000213623;0.000194517;0.000233459;-0.00509691;-0.004;0;0
19;1664534692;579314575;1.37941;-0.0254412;0.00192881;208.016;-686.233;170.867;188.442;-675.285;7.62939e-05;0.000209448;0.000399021;-0.00566155;0;-0.002;0
20;1664534692;679321069;1.37945;-0.0254426;0.00195597;208.016;-686.233;170.867;188.442;-675.286;-0.000457764;5.45957e-05;9.41127e-05;-0.00561569;0.011;0.001;0
21;1664534692;779293840;1.37939;-0.0254359;0.00197996;208.016;-686.233;170.867;188.445;-675.286;0.000549316;-4.22003e-05;-4.62246e-06;-0.00571055;-0.004;0.005;0
22;1664534692;879262708;1.37936;-0.0254405;0.00198796;208.016;-686.233;170.867;188.448;-675.287;0.00100708;0.000193057;0.000115848;-0.00571771;0.008;0;0
23;1664534692;979228633;1.37937;-0.0254033;0.00201593;208.016;-686.234;170.868;188.45;-675.287;-0.000946045;7.80333e-05;-0.000205806;-0.00571368;0.004;0.001;0
24;1664534693;79239516;1.37939;-0.0254025;0.00202773;208.016;-686.234;170.868;188.452;-675.288;-0.000717163;-7.55047e-05;-0.000285218;-0.00633426;-0.002;0.002;0
25;1664534693;179219738;1.3794;-0.0253821;0.00202758;208.017;-686.235;170.867;188.453;-675.288;-0.000579834;-1.27833e-05;-0.000466898;-0.00666224;-0.002;0.001;0
26;1664534693;279179676;1.37948;-0.0254224;0.0020225;208.017;-686.235;170.867;188.454;-675.288;0.000427246;0.000208795;-0.000660714;-0.00709456;-0.001;-0.007;0
27;1664534693;379175735;1.3795;-0.0254274;0.00202473;208.016;-686.231;170.867;188.453;-675.289;0.000595093;0.000356114;-0.000456858;-0.0058031;0.002;-0.003;0
28;1664534693;479156437;1.37951;-0.0254277;0.00204124;208.016;-686.231;170.867;188.453;-675.289;-9.15527e-05;0.000305318;-0.000382168;-0.004544;-0.001;-0.008;0
29;1664534693;579132468;1.37952;-0.0254172;0.00199669;208.016;-686.233;170.866;188.453;-675.289;-0.000228882;0.000193126;-0.00028816;-0.00401446;0.005;-0.005;0
30;1664534693;679116593;1.37951;-0.0254034;0.00200813;208.016;-686.233;170.866;188.453;-675.289;-0.000808716;1.85252e-05;-4.49015e-05;-0.00369101;0.001;0.005;0
31;1664534693;779095888;1.37951;-0.0253844;0.00203296;208.016;-686.233;170.867;188.456;-675.29;-0.000274658;0.000350677;-0.000187243;-0.00424043;-0.003;-0.009;0
32;1664534693;879092907;1.37949;-0.0254017;0.00203855;208.016;-686.233;170.867;188.459;-675.29;-0.000167847;0.000372953;-0.000445395;-0.00469737;0.005;-0.001;0
33;1664534693;979056044;1.37951;-0.0253963;0.00204861;208.017;-686.234;170.867;188.461;-675.29;-0.000152588;0.000414555;-6.83985e-05;-0.00531166;0.013;-0.007;0
34;1664534694;79047896;1.37956;-0.0254165;0.00200237;208.017;-686.234;170.867;188.463;-675.29;0.000274658;-7.86067e-06;3.24145e-05;-0.00549289;0.008;-0.006;0
35;1664534694;179037854;1.37961;-0.0254298;0.00202272;208.015;-686.232;170.866;188.464;-675.29;-0.00109863;0.000463778;-6.67462e-05;-0.0056077;-0.011;0.003;0
36;1664534694;279008424;1.37958;-0.0254286;0.00202576;208.015;-686.232;170.866;188.465;-675.29;-0.000411987;0.000302593;-0.000239978;-0.00628659;0.007;-0.004;0
37;1664534694;378990128;1.37957;-0.0254309;0.00201721;208.017;-686.234;170.867;188.465;-675.29;1.52588e-05;0.000305443;-0.000249811;-0.00641401;0;-0.003;0
38;1664534694;478974808;1.37957;-0.0254364;0.00202119;208.017;-686.234;170.867;188.465;-675.29;-0.000335693;6.88433e-05;-9.17867e-05;-0.00579767;0.004;-0.002;0
